Year,Province,"Income, consumption and savings",UOM, VALUE 
2013,Quebec,Recreation and culture,Dollars,4867
2014,Quebec,Recreation and culture,Dollars,4816
2015,Quebec,Recreation and culture,Dollars,4853
2016,Quebec,Recreation and culture,Dollars,4880
2017,Quebec,Recreation and culture,Dollars,4875
2018,Quebec,Recreation and culture,Dollars,5507
2019,Quebec,Recreation and culture,Dollars,5544
2020,Quebec,Recreation and culture,Dollars,5406
2010,Quebec,Education,Dollars,631
2011,Quebec,Education,Dollars,620
2012,Quebec,Education,Dollars,658
2013,Quebec,Education,Dollars,686
2014,Quebec,Education,Dollars,678
2015,Quebec,Education,Dollars,708
2016,Quebec,Education,Dollars,718
2017,Quebec,Education,Dollars,788
2018,Quebec,Education,Dollars,638
2019,Quebec,Education,Dollars,662
2020,Quebec,Education,Dollars,635
2010,Quebec,"Food, beverage and accommodation services",Dollars,4243
2011,Quebec,"Food, beverage and accommodation services",Dollars,4172
2012,Quebec,"Food, beverage and accommodation services",Dollars,4310
2013,Quebec,"Food, beverage and accommodation services",Dollars,4409
2014,Quebec,"Food, beverage and accommodation services",Dollars,4511
2015,Quebec,"Food, beverage and accommodation services",Dollars,4631
2016,Quebec,"Food, beverage and accommodation services",Dollars,4725
2017,Quebec,"Food, beverage and accommodation services",Dollars,4865
2018,Quebec,"Food, beverage and accommodation services",Dollars,5185
2019,Quebec,"Food, beverage and accommodation services",Dollars,5326
2020,Quebec,"Food, beverage and accommodation services",Dollars,3666
2010,Quebec,Insurance and financial services,Dollars,4824
2011,Quebec,Insurance and financial services,Dollars,4742
2012,Quebec,Insurance and financial services,Dollars,4758
2013,Quebec,Insurance and financial services,Dollars,4895
2014,Quebec,Insurance and financial services,Dollars,5227
2015,Quebec,Insurance and financial services,Dollars,5417
2016,Quebec,Insurance and financial services,Dollars,5570
2017,Quebec,Insurance and financial services,Dollars,5857
2018,Quebec,Insurance and financial services,Dollars,5486
2019,Quebec,Insurance and financial services,Dollars,5619
2020,Quebec,Insurance and financial services,Dollars,5801
2010,Quebec,Miscellaneous goods and services,Dollars,3099
2011,Quebec,Miscellaneous goods and services,Dollars,3047
2012,Quebec,Miscellaneous goods and services,Dollars,3112
2013,Quebec,Miscellaneous goods and services,Dollars,3196
2014,Quebec,Miscellaneous goods and services,Dollars,3315
2015,Quebec,Miscellaneous goods and services,Dollars,3407
2016,Quebec,Miscellaneous goods and services,Dollars,3467
2017,Quebec,Miscellaneous goods and services,Dollars,3448
2018,Quebec,Miscellaneous goods and services,Dollars,3537
2019,Quebec,Miscellaneous goods and services,Dollars,3662
2020,Quebec,Miscellaneous goods and services,Dollars,3354
2010,Quebec,Social transfers in kind (STiK): education,Dollars,5138
2011,Quebec,Social transfers in kind (STiK): education,Dollars,5308
2012,Quebec,Social transfers in kind (STiK): education,Dollars,5398
2013,Quebec,Social transfers in kind (STiK): education,Dollars,5483
2014,Quebec,Social transfers in kind (STiK): education,Dollars,5612
2015,Quebec,Social transfers in kind (STiK): education,Dollars,5606
2016,Quebec,Social transfers in kind (STiK): education,Dollars,5795
2017,Quebec,Social transfers in kind (STiK): education,Dollars,5952
2018,Quebec,Social transfers in kind (STiK): education,Dollars,6145
2019,Quebec,Social transfers in kind (STiK): education,Dollars,6246
2020,Quebec,Social transfers in kind (STiK): education,Dollars,6678
2010,Quebec,Social transfers in kind (STiK): health,Dollars,8434
2011,Quebec,Social transfers in kind (STiK): health,Dollars,8708
2012,Quebec,Social transfers in kind (STiK): health,Dollars,8860
2013,Quebec,Social transfers in kind (STiK): health,Dollars,9205
2014,Quebec,Social transfers in kind (STiK): health,Dollars,9556
2015,Quebec,Social transfers in kind (STiK): health,Dollars,9687
2016,Quebec,Social transfers in kind (STiK): health,Dollars,10046
2017,Quebec,Social transfers in kind (STiK): health,Dollars,10269
2018,Quebec,Social transfers in kind (STiK): health,Dollars,10477
2019,Quebec,Social transfers in kind (STiK): health,Dollars,10788
2020,Quebec,Social transfers in kind (STiK): health,Dollars,11562
2010,Quebec,Social transfers in kind (STiK): other,Dollars,2691
2011,Quebec,Social transfers in kind (STiK): other,Dollars,2802
2012,Quebec,Social transfers in kind (STiK): other,Dollars,2867
2013,Quebec,Social transfers in kind (STiK): other,Dollars,2904
2014,Quebec,Social transfers in kind (STiK): other,Dollars,2884
2015,Quebec,Social transfers in kind (STiK): other,Dollars,2934
2016,Quebec,Social transfers in kind (STiK): other,Dollars,3024
2017,Quebec,Social transfers in kind (STiK): other,Dollars,3033
2018,Quebec,Social transfers in kind (STiK): other,Dollars,3165
2019,Quebec,Social transfers in kind (STiK): other,Dollars,3261
2020,Quebec,Social transfers in kind (STiK): other,Dollars,3323
2010,Ontario,Household disposable income,Dollars," $73,141 "
2011,Ontario,Household disposable income,Dollars," $72,218 "
2012,Ontario,Household disposable income,Dollars," $73,073 "
2013,Ontario,Household disposable income,Dollars," $75,219 "
2014,Ontario,Household disposable income,Dollars," $76,533 "
2015,Ontario,Household disposable income,Dollars," $79,674 "
2016,Ontario,Household disposable income,Dollars," $80,136 "
2017,Ontario,Household disposable income,Dollars," $82,205 "
2018,Ontario,Household disposable income,Dollars," $83,768 "
2019,Ontario,Household disposable income,Dollars," $86,818 "
2020,Ontario,Household disposable income,Dollars," $94,765 "
2010,Ontario,Compensation of employees,Dollars,67357
2011,Ontario,Compensation of employees,Dollars,66506
2012,Ontario,Compensation of employees,Dollars,68088
2013,Ontario,Compensation of employees,Dollars,69493
2014,Ontario,Compensation of employees,Dollars,71060
2015,Ontario,Compensation of employees,Dollars,73551
2016,Ontario,Compensation of employees,Dollars,73771
2017,Ontario,Compensation of employees,Dollars,75212
2018,Ontario,Compensation of employees,Dollars,78145
2019,Ontario,Compensation of employees,Dollars,80173
2020,Ontario,Compensation of employees,Dollars,79571
2010,Ontario,Net mixed income,Dollars,11264
2011,Ontario,Net mixed income,Dollars,11122
2012,Ontario,Net mixed income,Dollars,11276
2013,Ontario,Net mixed income,Dollars,11359
2014,Ontario,Net mixed income,Dollars,11567
2015,Ontario,Net mixed income,Dollars,11724
2016,Ontario,Net mixed income,Dollars,12061
2017,Ontario,Net mixed income,Dollars,12403
2018,Ontario,Net mixed income,Dollars,12527
2019,Ontario,Net mixed income,Dollars,13365
2020,Ontario,Net mixed income,Dollars,12999
2010,Ontario,Property income received,Dollars,12500
2011,Ontario,Property income received,Dollars,12342
2012,Ontario,Property income received,Dollars,12732
2013,Ontario,Property income received,Dollars,12872
2014,Ontario,Property income received,Dollars,13249
2015,Ontario,Property income received,Dollars,14068
2016,Ontario,Property income received,Dollars,13785
2017,Ontario,Property income received,Dollars,14229
2018,Ontario,Property income received,Dollars,14087
2019,Ontario,Property income received,Dollars,14935
2020,Ontario,Property income received,Dollars,14457
2010,Ontario,Less: property income paid,Dollars,4362
2011,Ontario,Less: property income paid,Dollars,4307
2012,Ontario,Less: property income paid,Dollars,4277
2013,Ontario,Less: property income paid,Dollars,4233
2014,Ontario,Less: property income paid,Dollars,4305
2015,Ontario,Less: property income paid,Dollars,4338
2016,Ontario,Less: property income paid,Dollars,4345
2017,Ontario,Less: property income paid,Dollars,4618
2018,Ontario,Less: property income paid,Dollars,5303
2019,Ontario,Less: property income paid,Dollars,6050
2020,Ontario,Less: property income paid,Dollars,5582
2010,Ontario,Current transfers received,Dollars,17978
2011,Ontario,Current transfers received,Dollars,17750
2012,Ontario,Current transfers received,Dollars,17782
2013,Ontario,Current transfers received,Dollars,18590
2014,Ontario,Current transfers received,Dollars,18794
2015,Ontario,Current transfers received,Dollars,20189
2016,Ontario,Current transfers received,Dollars,21040
2017,Ontario,Current transfers received,Dollars,21703
2018,Ontario,Current transfers received,Dollars,21963
2019,Ontario,Current transfers received,Dollars,22773
2020,Ontario,Current transfers received,Dollars,31732
2010,Ontario,Less: current transfers paid,Dollars,31595
2011,Ontario,Less: current transfers paid,Dollars,31196
2012,Ontario,Less: current transfers paid,Dollars,32528
2013,Ontario,Less: current transfers paid,Dollars,32863
2014,Ontario,Less: current transfers paid,Dollars,33833
2015,Ontario,Less: current transfers paid,Dollars,35520
2016,Ontario,Less: current transfers paid,Dollars,36174
2017,Ontario,Less: current transfers paid,Dollars,36724
2018,Ontario,Less: current transfers paid,Dollars,37651
2019,Ontario,Less: current transfers paid,Dollars,38378
2020,Ontario,Less: current transfers paid,Dollars,38412
2010,Ontario,Social transfers in kind (STiK): education,Dollars,6328
2011,Ontario,Social transfers in kind (STiK): education,Dollars,6516
2012,Ontario,Social transfers in kind (STiK): education,Dollars,6429
2013,Ontario,Social transfers in kind (STiK): education,Dollars,6576
2014,Ontario,Social transfers in kind (STiK): education,Dollars,6656
2015,Ontario,Social transfers in kind (STiK): education,Dollars,6735
2016,Ontario,Social transfers in kind (STiK): education,Dollars,6721
2017,Ontario,Social transfers in kind (STiK): education,Dollars,6897
2018,Ontario,Social transfers in kind (STiK): education,Dollars,7071
2019,Ontario,Social transfers in kind (STiK): education,Dollars,7179
2020,Ontario,Social transfers in kind (STiK): education,Dollars,7417
2010,Ontario,Social transfers in kind (STiK): health,Dollars,8814
2011,Ontario,Social transfers in kind (STiK): health,Dollars,9070
2012,Ontario,Social transfers in kind (STiK): health,Dollars,9223
2013,Ontario,Social transfers in kind (STiK): health,Dollars,9371
2014,Ontario,Social transfers in kind (STiK): health,Dollars,9586
2015,Ontario,Social transfers in kind (STiK): health,Dollars,9996
2016,Ontario,Social transfers in kind (STiK): health,Dollars,10164
2017,Ontario,Social transfers in kind (STiK): health,Dollars,10334
2018,Ontario,Social transfers in kind (STiK): health,Dollars,10324
2019,Ontario,Social transfers in kind (STiK): health,Dollars,10541
2020,Ontario,Social transfers in kind (STiK): health,Dollars,10832
2010,Ontario,Social transfers in kind (STiK): other,Dollars,4121
2011,Ontario,Social transfers in kind (STiK): other,Dollars,4326
2012,Ontario,Social transfers in kind (STiK): other,Dollars,4404
2013,Ontario,Social transfers in kind (STiK): other,Dollars,4377
2014,Ontario,Social transfers in kind (STiK): other,Dollars,4361
2015,Ontario,Social transfers in kind (STiK): other,Dollars,4539
2016,Ontario,Social transfers in kind (STiK): other,Dollars,4707
2017,Ontario,Social transfers in kind (STiK): other,Dollars,4795
2018,Ontario,Social transfers in kind (STiK): other,Dollars,5034
2019,Ontario,Social transfers in kind (STiK): other,Dollars,5141
2020,Ontario,Social transfers in kind (STiK): other,Dollars,5205
2010,Ontario,Food and non-alcoholic beverages,Dollars,6371
2011,Ontario,Food and non-alcoholic beverages,Dollars,6290
2012,Ontario,Food and non-alcoholic beverages,Dollars,6502
2013,Ontario,Food and non-alcoholic beverages,Dollars,6637
2014,Ontario,Food and non-alcoholic beverages,Dollars,6844
2015,Ontario,Food and non-alcoholic beverages,Dollars,7150
2016,Ontario,Food and non-alcoholic beverages,Dollars,7293
2017,Ontario,Food and non-alcoholic beverages,Dollars,7473
2018,Ontario,Food and non-alcoholic beverages,Dollars,7449
2019,Ontario,Food and non-alcoholic beverages,Dollars,7672
2020,Ontario,Food and non-alcoholic beverages,Dollars,8291
2010,Ontario,Alcoholic beverages and tobacco,Dollars,2630
2011,Ontario,Alcoholic beverages and tobacco,Dollars,2597
2012,Ontario,Alcoholic beverages and tobacco,Dollars,2662
2013,Ontario,Alcoholic beverages and tobacco,Dollars,2640
2014,Ontario,Alcoholic beverages and tobacco,Dollars,2692
2015,Ontario,Alcoholic beverages and tobacco,Dollars,2751
2016,Ontario,Alcoholic beverages and tobacco,Dollars,2811
2017,Ontario,Alcoholic beverages and tobacco,Dollars,2825
2018,Ontario,Alcoholic beverages and tobacco,Dollars,2976
2019,Ontario,Alcoholic beverages and tobacco,Dollars,2939
2020,Ontario,Alcoholic beverages and tobacco,Dollars,2988
2010,Ontario,Clothing and footwear,Dollars,3032
2011,Ontario,Clothing and footwear,Dollars,2994
2012,Ontario,Clothing and footwear,Dollars,3006
2013,Ontario,Clothing and footwear,Dollars,3051
2014,Ontario,Clothing and footwear,Dollars,3190
2015,Ontario,Clothing and footwear,Dollars,3380
2016,Ontario,Clothing and footwear,Dollars,3400
2017,Ontario,Clothing and footwear,Dollars,3514
2018,Ontario,Clothing and footwear,Dollars,4339
2019,Ontario,Clothing and footwear,Dollars,4386
2020,Ontario,Clothing and footwear,Dollars,3432
2010,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,16614
2011,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,16404
2012,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,16831
2013,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,17475
2014,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,18115
2015,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,18699
2016,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,19135
2017,Ontario,"Housing, water, electricity, gas and other fuels",Dollars,19664
